error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct
0,601.6728,599.9055,0,0.7085,0.0
20,604.6875,602.9111,978,0.7122,0.0
40,606.55,604.7698,1010,0.7148,0.0
60,606.5305,604.753,1035,0.7168,0.0
80,605.3124,603.5205,1057,0.715,0.0
