error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99,alpha,beta,scenario
40,26.3258,25.627,283,0.1472,11.24,25.3,201.9357,286.206,0.5,1.0,saturation
40,27.136,26.4355,284,0.1507,11.76,25.2,210.4579,281.2741,0.5,1.25,saturation
40,28.2734,27.5725,284,0.1545,12.15,25.1,212.475,289.8613,0.5,1.5,saturation
40,28.7475,28.0462,284,0.1565,12.13,25.0,213.4775,288.2579,0.5,1.75,saturation
40,29.4603,28.759,284,0.1603,12.13,25.0,218.129,283.4828,0.5,2.0,saturation
40,47.6478,46.9679,286,0.2523,15.34,24.4,251.0457,287.9968,0.5,5.0,saturation
40,73.4733,72.7988,289,0.3755,12.99,23.8,270.5474,294.1508,0.5,10.0,saturation
40,84.4351,83.7518,288,0.4178,8.77,23.6,281.2104,300.0775,0.5,12.0,saturation
40,90.8642,90.1749,289,0.4504,6.03,23.7,279.3046,298.2981,0.5,14.0,saturation
40,97.4859,96.796,289,0.4809,2.63,23.9,278.22,298.4032,0.5,16.0,saturation
40,105.0284,104.335,287,0.5125,0.0,24.0,283.3752,299.3012,0.5,18.0,saturation
40,111.9023,111.2085,288,0.5422,0.0,23.9,284.309,298.8136,0.5,20.0,saturation
40,124.0305,123.3388,289,0.5939,0.0,24.1,285.4134,298.8192,0.5,25.0,saturation
40,135.6449,134.9524,287,0.6317,0.0,23.9,287.842,300.1502,0.5,30.0,saturation
