error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct
0,545.0365,543.8542,0,0.7485,0.0
20,545.0365,543.8542,353,0.7485,0.0
40,545.0365,543.8542,353,0.7485,0.0
60,545.0365,543.8542,353,0.7485,0.0
80,545.0365,543.8542,353,0.7485,0.0
