error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,11.5117,11.4243,0,0.0911,7.91,3.9,54.924,212.7088
20,11.481,11.3936,369,0.09,7.6,3.9,65.4,211.5612
40,12.0133,11.9226,373,0.0898,7.51,4.1,61.5163,236.1644
60,11.7299,11.6357,377,0.087,6.69,4.4,62.285,232.9731
80,11.4241,11.3285,377,0.091,6.93,4.8,57.1974,222.4672
