error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,84.9276,84.7776,0,0.7809,0.0,0.0,147.4457,157.9598
20,84.9276,84.7776,388,0.7809,0.0,0.0,147.4457,157.9598
40,84.9276,84.7776,388,0.7809,0.0,0.0,147.4457,157.9598
60,84.9276,84.7776,388,0.7809,0.0,0.0,147.4457,157.9598
80,84.9276,84.7776,388,0.7809,0.0,0.0,147.4457,157.9598
