error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,12.08,11.9926,0,0.0955,7.91,3.9,59.601,225.5128
20,12.8898,12.8015,370,0.097,7.8,3.8,66.4809,250.8078
40,13.9911,13.8986,375,0.1007,8.11,3.8,78.9901,244.237
60,12.483,12.3888,376,0.0964,7.53,4.4,64.265,232.6906
80,12.948,12.8492,378,0.1021,7.68,4.9,67.4365,231.3845
