error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,23.6316,22.954,0,0.1447,9.78,24.3,171.1006,277.749
20,24.6472,23.9677,275,0.1382,10.33,24.5,202.0973,279.2145
40,25.1971,24.4987,283,0.1434,11.13,25.4,196.9215,280.8086
60,25.3985,24.6852,291,0.1456,11.55,26.4,199.5697,282.3408
80,28.966,28.2068,294,0.1584,10.28,29.0,219.0719,288.6578
