error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,101.3012,100.6237,0,0.496,0.26,23.1,280.6068,295.4347
20,102.338,101.6635,280,0.5042,0.0,23.5,279.1024,299.0729
40,105.0284,104.335,287,0.5125,0.0,24.0,283.3752,299.3012
60,105.3904,104.6755,298,0.5087,0.0,24.6,285.675,299.0844
80,98.1386,97.3543,300,0.49,1.66,27.7,279.0129,297.3118
