error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,23.6187,22.9411,0,0.1446,9.78,24.3,171.1006,277.749
20,22.968,22.2912,272,0.1336,10.07,24.5,178.9269,271.2456
40,22.8046,22.1254,284,0.1317,10.29,25.2,186.8958,270.5569
60,24.5923,23.878,292,0.1417,11.16,26.5,186.5084,283.405
80,26.8506,26.0868,295,0.1502,11.03,29.3,200.0372,293.2223
