error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,55.0459,54.5351,0,0.2844,16.35,26.0,263.8352,293.3478
20,40.4042,39.8821,316,0.2391,12.98,27.6,229.6173,290.1144
40,39.3002,38.7774,309,0.2389,12.45,27.7,221.5018,288.478
60,39.6925,39.1717,299,0.2403,12.57,27.6,229.5247,285.0182
80,41.6745,41.167,283,0.2445,13.78,26.7,238.1626,284.3521
