error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,13.0194,12.8267,0,0.0927,7.07,8.1,77.2733,247.958
20,12.2143,12.0195,346,0.0904,7.62,8.1,69.3382,239.7762
40,12.1894,11.9959,351,0.0922,6.78,8.5,66.7159,226.0728
60,14.1846,13.982,356,0.098,7.56,8.7,79.5356,243.1819
80,16.2256,16.0108,363,0.1152,9.08,9.7,103.4379,245.5706
