error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,14.3543,14.1608,0,0.0959,7.28,8.0,86.6413,263.8318
20,14.1128,13.9171,345,0.0967,7.39,8.0,77.022,255.0026
40,14.3754,14.1791,351,0.1037,7.52,8.3,83.0112,238.4242
60,15.7576,15.5536,357,0.1088,8.11,8.8,85.399,251.8346
80,18.2106,17.9965,364,0.1217,9.38,9.4,131.933,258.3265
