error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,23.6247,23.1229,0,0.1321,9.94,18.5,198.8486,282.2655
20,23.2402,22.742,295,0.131,9.96,18.7,190.144,284.0165
40,23.3674,22.868,306,0.1325,10.41,19.3,180.6177,286.91
60,22.3109,21.7857,315,0.1377,10.43,20.4,165.3502,265.2289
80,22.6226,22.0739,318,0.1392,10.64,22.0,160.3252,269.9468
