error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,231.8365,230.7378,0,0.8519,0.0,38.2,302.0817,306.5834
20,231.8365,230.7378,233,0.8519,0.0,38.2,302.0817,306.5834
40,231.8365,230.7378,233,0.8519,0.0,38.2,302.0817,306.5834
60,231.8365,230.7378,233,0.8519,0.0,38.2,302.0817,306.5834
80,231.8365,230.7378,233,0.8519,0.0,38.2,302.0817,306.5834
