error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,110.8964,108.2338,0,0.5202,0.0,66.8,279.4046,295.2767
20,106.4677,103.84,141,0.5117,0.0,66.7,278.93,296.7753
40,104.2613,101.6827,133,0.5018,0.0,66.3,276.4748,294.7334
60,98.1636,95.6592,124,0.4823,0.58,65.7,273.7542,291.8588
80,88.8491,86.5848,116,0.4532,5.72,63.3,267.3047,291.9642
