error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99
0,102.4069,101.884,0,0.5137,0.0,17.0,272.007,298.6385
20,103.69,103.1593,308,0.5134,0.0,17.1,281.2396,297.6269
40,104.4404,103.8986,318,0.5171,0.0,17.5,280.7256,298.7229
60,101.8536,101.3023,324,0.507,0.24,18.0,277.9471,297.9257
80,98.9826,98.414,328,0.4886,1.25,19.8,277.9142,298.3118
